X,Y,DEPTH (m),-1,Z
541742.452,710962.899,4.48,-1,-4.48
541742.427,710962.905,4.47,-1,-4.47
541742.401,710962.912,4.45,-1,-4.45
541742.376,710962.918,4.45,-1,-4.45
541742.35,710962.924,4.47,-1,-4.47
541742.325,710962.931,4.45,-1,-4.45
541742.299,710962.937,4.44,-1,-4.44
541742.274,710962.943,4.45,-1,-4.45
541742.248,710962.95,4.46,-1,-4.46
541742.223,710962.956,4.45,-1,-4.45
541742.198,710962.962,4.44,-1,-4.44
541742.172,710962.969,4.44,-1,-4.44
541742.147,710962.975,4.45,-1,-4.45
541742.121,710962.981,4.44,-1,-4.44
541742.096,710962.988,4.45,-1,-4.45
541742.07,710962.994,4.45,-1,-4.45
541742.045,710963.001,4.45,-1,-4.45
541742.019,710963.007,4.43,-1,-4.43
541741.994,710963.013,4.43,-1,-4.43
541741.968,710963.02,4.45,-1,-4.45
541741.943,710963.026,4.45,-1,-4.45
541741.918,710963.032,4.46,-1,-4.46
541741.892,710963.039,4.44,-1,-4.44
541741.867,710963.045,4.44,-1,-4.44
541741.841,710963.051,4.5,-1,-4.5
541741.816,710963.058,4.51,-1,-4.51
541741.79,710963.064,4.5,-1,-4.5
541741.765,710963.07,4.5,-1,-4.5
541741.739,710963.077,4.55,-1,-4.55
541741.714,710963.083,4.49,-1,-4.49
541741.689,710963.083,4.54,-1,-4.54
541741.665,710963.083,4.54,-1,-4.54
541741.64,710963.083,4.54,-1,-4.54
541741.616,710963.083,4.59,-1,-4.59
541741.591,710963.083,4.62,-1,-4.62
541741.567,710963.083,4.57,-1,-4.57
541741.542,710963.083,4.55,-1,-4.55
541741.517,710963.083,4.55,-1,-4.55
541741.493,710963.083,4.55,-1,-4.55
541741.468,710963.083,4.53,-1,-4.53
541741.444,710963.083,4.5,-1,-4.5
541741.419,710963.083,4.5,-1,-4.5
541741.395,710963.083,4.49,-1,-4.49
541741.37,710963.083,4.48,-1,-4.48
541741.346,710963.083,4.47,-1,-4.47
541741.321,710963.082,4.45,-1,-4.45
541741.296,710963.082,4.45,-1,-4.45
541741.272,710963.082,4.49,-1,-4.49
541741.247,710963.082,4.49,-1,-4.49
541741.223,710963.082,4.47,-1,-4.47
541741.198,710963.082,4.51,-1,-4.51
541741.174,710963.082,4.51,-1,-4.51
541741.149,710963.082,4.51,-1,-4.51
541741.124,710963.082,4.5,-1,-4.5
541741.1,710963.082,4.49,-1,-4.49
541741.075,710963.082,4.51,-1,-4.51
541741.051,710963.082,4.57,-1,-4.57
541741.026,710963.082,4.57,-1,-4.57
541741.002,710963.082,4.59,-1,-4.59
541740.977,710963.082,4.66,-1,-4.66
541740.959,710963.088,4.69,-1,-4.69
541740.94,710963.094,4.63,-1,-4.63
541740.922,710963.1,4.63,-1,-4.63
541740.903,710963.107,4.65,-1,-4.65
541740.885,710963.113,4.66,-1,-4.66
541740.866,710963.119,4.58,-1,-4.58
541740.848,710963.125,4.57,-1,-4.57
541740.83,710963.131,4.55,-1,-4.55
541740.811,710963.137,4.55,-1,-4.55
541740.793,710963.143,4.55,-1,-4.55
541740.774,710963.149,4.5,-1,-4.5
541740.756,710963.156,4.51,-1,-4.51
541740.737,710963.162,4.5,-1,-4.5
541740.719,710963.168,4.5,-1,-4.5
541740.701,710963.174,4.51,-1,-4.51
541740.682,710963.18,4.51,-1,-4.51
541740.664,710963.186,4.53,-1,-4.53
541740.645,710963.192,4.54,-1,-4.54
541740.627,710963.199,4.51,-1,-4.51
541740.608,710963.205,4.51,-1,-4.51
541740.59,710963.211,4.57,-1,-4.57
541740.571,710963.217,4.57,-1,-4.57
541740.553,710963.223,4.61,-1,-4.61
541740.535,710963.229,4.63,-1,-4.63
541740.516,710963.235,4.67,-1,-4.67
541740.498,710963.241,4.62,-1,-4.62
541740.479,710963.248,4.59,-1,-4.59
541740.461,710963.254,4.59,-1,-4.59
541740.442,710963.26,4.59,-1,-4.59
541740.424,710963.266,4.59,-1,-4.59
541740.412,710963.272,4.59,-1,-4.59
541740.4,710963.278,4.59,-1,-4.59
541740.388,710963.284,4.59,-1,-4.59
541740.376,710963.29,4.59,-1,-4.59
541740.364,710963.296,4.59,-1,-4.59
541740.353,710963.302,4.59,-1,-4.59
541740.341,710963.308,4.59,-1,-4.59
541740.329,710963.313,4.63,-1,-4.63
541740.317,710963.319,4.67,-1,-4.67
541740.305,710963.325,4.65,-1,-4.65
541740.293,710963.331,4.61,-1,-4.61
541740.281,710963.337,4.63,-1,-4.63
541740.269,710963.343,4.63,-1,-4.63
541740.257,710963.349,4.63,-1,-4.63
541740.245,710963.355,4.63,-1,-4.63
541740.234,710963.361,4.63,-1,-4.63
541740.222,710963.367,4.63,-1,-4.63
541740.21,710963.373,4.61,-1,-4.61
541740.198,710963.379,4.61,-1,-4.61
541740.186,710963.385,4.7,-1,-4.7
541740.174,710963.391,4.61,-1,-4.61
541740.162,710963.397,4.59,-1,-4.59
541740.15,710963.403,4.59,-1,-4.59
541740.138,710963.408,4.61,-1,-4.61
541740.126,710963.414,4.59,-1,-4.59
541740.115,710963.42,4.58,-1,-4.58
541740.103,710963.426,4.63,-1,-4.63
541740.091,710963.432,4.63,-1,-4.63
541740.079,710963.438,4.65,-1,-4.65
541740.067,710963.444,4.65,-1,-4.65
541740.055,710963.45,4.59,-1,-4.59
541740.049,710963.45,4.59,-1,-4.59
541740.043,710963.45,4.58,-1,-4.58
541740.037,710963.45,4.58,-1,-4.58
541740.03,710963.45,4.59,-1,-4.59
541740.024,710963.45,4.65,-1,-4.65
541740.018,710963.45,4.59,-1,-4.59
541740.012,710963.45,4.61,-1,-4.61
541740.006,710963.45,4.59,-1,-4.59
541740,710963.45,4.58,-1,-4.58
541739.994,710963.45,4.58,-1,-4.58
541739.988,710963.45,4.58,-1,-4.58
541739.981,710963.45,4.58,-1,-4.58
541739.975,710963.45,4.68,-1,-4.68
541739.969,710963.45,4.8,-1,-4.8
541739.963,710963.45,4.75,-1,-4.75
541739.957,710963.45,4.76,-1,-4.76
541739.951,710963.45,4.75,-1,-4.75
541739.945,710963.45,4.76,-1,-4.76
541739.938,710963.45,4.76,-1,-4.76
541739.932,710963.45,4.76,-1,-4.76
541739.926,710963.45,0.99,-1,-0.99
541739.92,710963.45,0.92,-1,-0.92
541739.914,710963.45,0.93,-1,-0.93
541739.908,710963.45,0.93,-1,-0.93
541739.902,710963.45,0.92,-1,-0.92
541739.896,710963.45,0.92,-1,-0.92
541739.889,710963.45,0.92,-1,-0.92
541739.883,710963.45,0.93,-1,-0.93
541739.877,710963.45,0.92,-1,-0.92
541739.871,710963.45,0.94,-1,-0.94
541739.853,710963.456,0.92,-1,-0.92
541739.834,710963.462,0.92,-1,-0.92
541739.816,710963.468,0.92,-1,-0.92
541739.797,710963.474,0.92,-1,-0.92
541739.779,710963.48,0.92,-1,-0.92
541739.76,710963.487,0.99,-1,-0.99
541739.742,710963.493,0.92,-1,-0.92
541739.724,710963.499,0.92,-1,-0.92
541739.705,710963.505,0.95,-1,-0.95
541739.687,710963.511,0.94,-1,-0.94
541739.668,710963.517,0.75,-1,-0.75
541739.65,710963.523,0.91,-1,-0.91
541739.631,710963.529,0.91,-1,-0.91
541739.613,710963.535,0.84,-1,-0.84
541739.595,710963.542,0.84,-1,-0.84
541739.576,710963.548,0.81,-1,-0.81
541739.558,710963.554,0.81,-1,-0.81
541739.539,710963.56,0.92,-1,-0.92
541739.521,710963.566,0.81,-1,-0.81
541739.502,710963.572,0.9,-1,-0.9
541739.484,710963.578,0.87,-1,-0.87
541739.465,710963.584,0.74,-1,-0.74
541739.447,710963.59,0.81,-1,-0.81
541739.429,710963.596,0.92,-1,-0.92
541739.41,710963.603,0.92,-1,-0.92
541739.392,710963.609,0.83,-1,-0.83
541739.373,710963.615,0.9,-1,-0.9
541739.355,710963.621,0.9,-1,-0.9
541739.336,710963.627,0.9,-1,-0.9
541739.318,710963.633,1.01,-1,-1.01
541739.257,710963.621,1.01,-1,-1.01
541739.195,710963.608,1.01,-1,-1.01
541739.134,710963.596,0.96,-1,-0.96
541739.072,710963.584,0.94,-1,-0.94
541739.011,710963.572,0.84,-1,-0.84
541738.949,710963.559,0.78,-1,-0.78
541738.888,710963.547,0.78,-1,-0.78
541738.827,710963.535,0.8,-1,-0.8
541738.765,710963.522,0.93,-1,-0.93
541738.704,710963.51,0.86,-1,-0.86
541738.642,710963.498,0.86,-1,-0.86
541738.581,710963.485,0.86,-1,-0.86
541738.519,710963.473,0.86,-1,-0.86
541738.458,710963.461,0.88,-1,-0.88
541738.397,710963.448,0.86,-1,-0.86
541738.335,710963.436,0.86,-1,-0.86
541738.274,710963.424,0.86,-1,-0.86
541738.212,710963.412,0.88,-1,-0.88
541738.151,710963.399,0.88,-1,-0.88
541738.089,710963.387,0.92,-1,-0.92
541738.028,710963.375,4.75,-1,-4.75
541737.966,710963.362,4.76,-1,-4.76
541737.905,710963.35,0.98,-1,-0.98
541737.844,710963.338,0.79,-1,-0.79
541737.782,710963.326,1.23,-1,-1.23
541737.721,710963.313,1.15,-1,-1.15
541737.659,710963.301,1.33,-1,-1.33
541737.598,710963.289,1.33,-1,-1.33
541737.536,710963.276,1.33,-1,-1.33
